Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-28,76.181302864776,76.957913188974,75.579982407669,76.49965539358,2449090.3185523
2020-01-29,76.979252824968,77.425643169734,76.049998777999,76.229425921456,1880064.9305096
2020-01-30,75.508451076812,77.865718724256,75.270231058679,77.610405222189,3378795.6272858
2020-01-31,76.890519134484,76.93004101135,75.174202696707,75.63126285947,2389287.3749002
2020-02-03,76.010476901133,77.579484525137,75.979447328387,76.089520654864,1966736.2704165
2020-02-04,77.39156507756,78.679564535749,77.39156507756,77.740729427722,2222173.7587614
2020-02-05,79.060847215596,80.07121365448,78.788440229595,80.040292957428,2530739.458316
2020-02-06,80.66186429359,81.001556458387,78.989315884739,80.271000552686,2476108.5194349
2020-02-07,79.349258928592,79.916283542138,78.559910148214,79.139890969327,1599520.186564
2020-02-10,78.931611767001,79.591616223091,78.751095866606,79.12922115133,1725489.9617082
2020-02-11,79.39934174776,80.630943596538,79.389760686702,79.781822060239,1845236.2908509
2020-02-12,80.530451331119,81.820737178879,80.300832492799,80.430176817087,1381550.7081617
2020-02-13,79.792491878236,80.310413553858,78.470196576485,78.849301742454,1908699.1488132
2020-02-14,78.788440229595,79.299067233729,77.721458429911,77.850693878505,1855609.3250393
2020-02-18,77.40005738168,78.439167003739,76.701510929969,76.880938073426,1809797.1973344
2020-02-19,77.279314237205,78.910272131008,76.901188952481,78.761765684603,1948176.4133247
2020-02-20,78.118854712446,79.420790259448,77.850693878505,77.89130451231,1586456.2867507
2020-02-21,77.439579258546,77.850693878505,76.495300365826,77.128630276924,3684511.2937987
2020-02-24,74.00999490242,74.470321335998,73.019988218285,74.00999490242,4078475.9302039
2020-02-25,74.019575963478,74.045161751532,70.099833233661,70.850640018418,4729302.135196
2020-02-26,71.068500281802,71.680490556907,69.550881985293,70.139355110527,5197153.2228138
2020-02-27,68.248837562598,72.469839337285,67.500099416024,69.381035902895,5523011.0577982
2020-02-28,66.989690163277,68.332236344083,65.420682539273,68.110129928639,5657280.0093164
2020-03-02,68.139961868752,68.839597077402,65.601198439669,68.691090630997,4156943.594187
2020-03-03,68.139961868752,69.329755451094,65.060739495421,65.850088275799,5678824.7236148
2020-03-04,66.902045229732,67.011029799271,64.350543344468,67.000359981274,3730801.8600333
2020-03-05,64.020432240729,64.020432240729,61.578894806249,62.399164283679,4049822.9863217
2020-03-06,59.649944138393,61.620485321298,59.1297360732,60.130521451026,3975209.0463858
2020-03-09,54.020199761042,55.890357554222,52.500403950656,52.659471339364,4425782.0427576
2020-03-10,55.619148200853,56.729898029463,53.014188349911,56.729898029463,4454343.2313053
2020-03-11,54.919512992204,55.890357554222,52.980001382044,54.19004584344,6053160.2723982
2020-03-12,50.150648726087,52.311286870446,47.480581210226,48.121314668505,5615236.4042767
2020-03-13,52.020915394961,59.018791741172,50.511680526878,58.85961547677,5751709.3563797
2020-03-16,48.600912099894,56.001519637638,47.719781109604,47.719781109604,5668082.7955306
2020-03-17,49.159553285014,50.581034343857,45.680865990964,49.928542310643,4963339.0961967
2020-03-18,46.5010265927,50.165564696144,42.099617793311,45.220539557386,5538764.8869576
2020-03-19,44.379910325207,47.640628480178,42.53109216802,46.631350798233,3758798.4723905
2020-03-20,47.83943549714,50.000073641499,45.819682500616,46.66978391816,4495298.8802364
2020-03-23,46.1507734856,46.981712781027,42.897458877809,43.210367621921,3925471.1011565
2020-03-24,46.409244382789,49.301527189788,45.220539557386,48.570971284086,3145790.4456583
2020-03-25,50.000073641499,51.711055170277,45.18950998464,49.38057094352,4284777.500667
2020-03-26,49.928542310643,49.949881946636,47.800893501519,49.421181577324,5342737.105117
2020-03-27,47.20915410547,50.168830966959,46.156108394598,48.658616217632,3734781.9817352
2020-03-30,48.04869458071,52.179982783669,47.6791704758,51.770827926199,2922348.4169508
2020-03-31,51.250819608298,54.088830079516,50.922084203747,53.269362774337,6703119.7283356
2020-04-01,50.049695887541,50.849115722147,49.159415742759,50.399772147862,6001994.0953638
2020-04-02,50.149178765705,52.880161611769,50.081491606997,52.4191775707,2855995.4547738
2020-04-03,52.098849169938,53.360223084513,50.858600546934,52.160177184754,2013837.189329
2020-04-06,54.86065769656,56.020500873074,53.579128529313,55.550032007217,2900565.2773658
2020-04-07,58.64057593839,59.120529629033,55.959172858258,56.130438614923,2551682.6367916
2020-04-08,56.668702421587,59.001107062397,56.090235891678,58.5601704919,2520018.9107319
2020-04-09,59.909386817854,62.509306630498,59.629261140338,60.949699645631,2773365.6045795
2020-04-13,61.000465014662,61.209885634676,58.340295008201,59.439887990897,2259672.5085128
2020-04-14,61.048104702797,61.889667338446,59.140684881706,60.609323774297,1893457.5269557
2020-04-15,57.700608245576,58.739951034454,56.899140551072,57.070406307738,2355729.5793191
2020-04-16,56.930936270528,59.069872042103,56.899140551072,58.500028080182,2459664.9869358
2020-04-17,61.961557999047,61.98915021661,56.689827713158,58.490435473295,4420905.5296018
2020-04-20,57.540875173594,59.610075926564,56.647469347916,58.179484115221,2314211.7846847
2020-04-21,56.441389972998,57.509187236237,54.599501668617,55.989890756716,3103006.3769175
2020-04-22,57.430937431745,58.109749096616,56.725719152409,57.470062333991,2000928.2554603
2020-04-23,57.599077507515,58.660623408963,56.829405532467,57.050251055065,1795349.0620867
2020-04-24,57.839108243886,58.060169330684,56.637984523129,57.410889961172,1612129.969418
2020-04-27,58.019966607439,61.529243996539,57.58010785794,61.289213260167,2243610.3483626
2020-04-28,63.199758762154,63.99917859676,61.811525316053,62.750415187868,3102972.3288833
2020-04-29,65.008881308179,66.089504641301,63.931491438053,64.46005485573,2346480.8091308
2020-04-30,63.049618297059,63.309696504003,62.099087958459,63.039055651274,3657722.6253434
2020-05-01,61.460371234733,61.460371234733,58.779075936701,59.07935686689,1773329.4417241
2020-05-04,57.999919136866,58.598217573148,57.33899930057,58.400545202018,2613446.7166723
2020-05-05,59.379637797079,60.035168528382,58.049498902798,58.080216801256,1954266.3703202
2020-05-06,58.608780218933,59.010699669284,56.160078692383,56.328110986053,2337941.3729889
2020-05-07,57.401405136385,59.489575538929,57.100046385197,58.240812130037,1573321.8308415
2020-05-08,59.728528454302,60.319605489893,58.774764652706,60.219152572831,1521281.302071
2020-05-11,59.24005997777,59.769808998545,58.660623408963,58.760106287126,2030946.3265319
2020-05-12,58.910138970121,59.250622623556,56.290063904805,56.328110986053,2417233.5700493
2020-05-13,55.999375581503,56.178078303058,53.035691181856,53.269362774337,2362240.3200878
2020-05-14,52.320880295634,54.990642908982,51.209646846154,54.69984680358,2484492.624344
2020-05-15,53.839314518357,55.091095826045,53.388785340973,54.411206340175,1836364.6482162
2020-05-18,56.309141336479,58.839326130518,55.969735504043,58.459825356937,2540846.8498963
2020-05-19,57.99021874788,58.416496952796,56.689827713158,56.741563121087,1801627.1412881
2020-05-20,57.590670503726,58.859373601091,57.590670503726,58.379419910447,1909498.8799739
2020-05-21,58.040014078011,58.869936246876,57.839108243886,58.089701626043,1667121.3278222
2020-05-22,55.92101799491,56.629577519341,54.259988054082,55.32164173763,3883351.3819876
